Nom du Produit,Note,Prix,Ventes,Lien
TERRAMASTER F4-210 NAS 4 Baies Quatre cœurs 1GB Se,"4,1 sur 5 étoiles","229,",2 186,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo1NjUxMTg5NzczOTIzMDUxOjE3MDg1MDQ1MzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDMxODI1MTQ2MjAxOjowOjo&url=%2FTerraMaster-F4-210-1GB-multim%25C3%25A9dia-Personnel%2Fdp%2FB07ZV7K7GX%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%253Aamzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%26cv_ct_cx%3Dserveur%2Bnas%26dib%3DeyJ2IjoiMSJ9.7VentFsEapZ55KjzwRdHRm-ol7FT7ShJM7NCft9F5aVn6p5HYlu4L7OcCf8OjyfMA605vO_IaInzS9Fpb_qLxg.m49BWsb6wpNskhrwYgAWswYjPXIt5c2FqriaGDw3Ces%26dib_tag%3Dse%26keywords%3Dserveur%2Bnas%26pd_rd_i%3DB07ZV7K7GX%26pd_rd_r%3D44d3083f-e856-4a97-af40-d03c51519db8%26pd_rd_w%3DXbKst%26pd_rd_wg%3DD39km%26pf_rd_p%3D3ba03297-e72a-4286-8fd0-8701f98c2638%26pf_rd_r%3DK9GJ8P8Z1SXY1VTXYC8T%26qid%3D1708504535%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-1c0bc4f8-9a4b-47e4-b117-3d30b74c13f1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
TERRAMASTER F2-423 NAS 2 Baies Hautes Performances,"4,4 sur 5 étoiles","359,",203,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo1NjUxMTg5NzczOTIzMDUxOjE3MDg1MDQ1MzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDUzMzM1ODAxMDk4OjoxOjo&url=%2FTERRAMASTER-Performances-processeur-Quad-Core-Stockage%2Fdp%2FB09VMWZ9R8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%253Aamzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%26cv_ct_cx%3Dserveur%2Bnas%26dib%3DeyJ2IjoiMSJ9.7VentFsEapZ55KjzwRdHRm-ol7FT7ShJM7NCft9F5aVn6p5HYlu4L7OcCf8OjyfMA605vO_IaInzS9Fpb_qLxg.m49BWsb6wpNskhrwYgAWswYjPXIt5c2FqriaGDw3Ces%26dib_tag%3Dse%26keywords%3Dserveur%2Bnas%26pd_rd_i%3DB09VMWZ9R8%26pd_rd_r%3D44d3083f-e856-4a97-af40-d03c51519db8%26pd_rd_w%3DXbKst%26pd_rd_wg%3DD39km%26pf_rd_p%3D3ba03297-e72a-4286-8fd0-8701f98c2638%26pf_rd_r%3DK9GJ8P8Z1SXY1VTXYC8T%26qid%3D1708504535%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-1c0bc4f8-9a4b-47e4-b117-3d30b74c13f1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
WD 12 To My Cloud EX2 Ultra NAS 2 baies - Stockage,"4,1 sur 5 étoiles","409,",7 034,https://www.amazon.fr/gp/bestsellers/computers/20631372031/ref=sr_bs_2_20631372031_1
Synology DS418 8TB (4 x 2To WD RED) 4 Bay NAS de b,"4,6 sur 5 étoiles","874,",312,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo1NjUxMTg5NzczOTIzMDUxOjE3MDg1MDQ1MzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTI0NzY5NDIyODk4OjozOjo&url=%2FSynology-DS418-8TB-bureau-Unit%25C3%25A9%2Fdp%2FB0765CSCTB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%253Aamzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%26cv_ct_cx%3Dserveur%2Bnas%26dib%3DeyJ2IjoiMSJ9.7VentFsEapZ55KjzwRdHRm-ol7FT7ShJM7NCft9F5aVn6p5HYlu4L7OcCf8OjyfMA605vO_IaInzS9Fpb_qLxg.m49BWsb6wpNskhrwYgAWswYjPXIt5c2FqriaGDw3Ces%26dib_tag%3Dse%26keywords%3Dserveur%2Bnas%26pd_rd_i%3DB0765CSCTB%26pd_rd_r%3D44d3083f-e856-4a97-af40-d03c51519db8%26pd_rd_w%3DXbKst%26pd_rd_wg%3DD39km%26pf_rd_p%3D3ba03297-e72a-4286-8fd0-8701f98c2638%26pf_rd_r%3DK9GJ8P8Z1SXY1VTXYC8T%26qid%3D1708504535%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-1c0bc4f8-9a4b-47e4-b117-3d30b74c13f1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Synology Solution NAS de Bureau DS1522+ 30 to à 5 ,"4,8 sur 5 étoiles","1 801,",105,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo1NjUxMTg5NzczOTIzMDUxOjE3MDg1MDQ1MzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTI0NzY5NDE4Mjk4Ojo0Ojo&url=%2FSolution-Synology-pr%25C3%25A9install%25C3%25A9e-disques-IronWolf%2Fdp%2FB0B88713YP%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%253Aamzn1.sym.3ba03297-e72a-4286-8fd0-8701f98c2638%26cv_ct_cx%3Dserveur%2Bnas%26dib%3DeyJ2IjoiMSJ9.7VentFsEapZ55KjzwRdHRm-ol7FT7ShJM7NCft9F5aVn6p5HYlu4L7OcCf8OjyfMA605vO_IaInzS9Fpb_qLxg.m49BWsb6wpNskhrwYgAWswYjPXIt5c2FqriaGDw3Ces%26dib_tag%3Dse%26keywords%3Dserveur%2Bnas%26pd_rd_i%3DB0B88713YP%26pd_rd_r%3D44d3083f-e856-4a97-af40-d03c51519db8%26pd_rd_w%3DXbKst%26pd_rd_wg%3DD39km%26pf_rd_p%3D3ba03297-e72a-4286-8fd0-8701f98c2638%26pf_rd_r%3DK9GJ8P8Z1SXY1VTXYC8T%26qid%3D1708504535%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-1c0bc4f8-9a4b-47e4-b117-3d30b74c13f1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,N/A,N/A,N/A,N/A
"SYNOLOGY DS223J NAS de Bureau 2 Baies, Blanc","4,7 sur 5 étoiles","209,",161,https://www.amazon.fr/SYNOLOGY-DS223J-Bureau-Baies-Blanc/dp/B0C99TX1RM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-8
Synology DS224+ BT NAS 2 EMP. 2.0/2.7 GHz 64b Quad,"4,4 sur 5 étoiles","389,",108,https://www.amazon.fr/Synology-DS224-EMP-QuadCore-USB3-2/dp/B0CBYZWF3Z/ref=sr_1_9?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-9
TERRAMASTER F2-223 Stockage NAS 2 Baies - Haute Pe,"4,4 sur 5 étoiles","279,",203,https://www.amazon.fr/TERRAMASTER-F2-223-Stockage-NAS-Baies/dp/B0BF51NX5B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-10
TERRAMASTER F4-210 NAS 4 Baies Quatre cœurs 1GB Se,"4,1 sur 5 étoiles","229,",2 186,https://www.amazon.fr/TerraMaster-F4-210-1GB-multim%C3%A9dia-Personnel/dp/B07ZV7K7GX/ref=sr_1_11?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-11
"Seagate IronWolf 4To, Disque dur interne NAS HDD, ","4,5 sur 5 étoiles","116,",2 247,https://www.amazon.fr/Seagate-IronWolf-services-valables-ST4000VNZ06/dp/B09NHV3CK9/ref=sr_1_12?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-12
DS124 Boîtier NAS pour 1 DD 3.5p/2.5p 1.7GHz QuadC,"3,7 sur 5 étoiles","179,",22,https://www.amazon.fr/DS124-Bo%C3%AEtier-1-7GHz-QuadCore-USB3-2/dp/B0CBZ11HVD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-13
"Synology DS220j 2 Bay Desktop NAS Enclosure, Blanc","4,6 sur 5 étoiles",N/A,3 018,https://www.amazon.fr/Synology-Disk-Station-DS220j-Ethernet/dp/B084CLC39K/ref=sr_1_14?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-14
Synology DS923+ BT NAS 4 EMP. 3.5/2.5p 2.6/3.1 GHz,"4,6 sur 5 étoiles","634,",193,https://www.amazon.fr/Synology-DS923-EMP-2-5p-DoubleCoeur/dp/B0BKPXZDCY/ref=sr_1_15?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-15
Asustor Flashstor 6 FS6706T - Serveur NAS Tout-SSD,"4,5 sur 5 étoiles","549,",104,https://www.amazon.fr/Asustor-FS6706T-Full-Flash-Baies/dp/B0BZCM22WD/ref=sr_1_16?dib=eyJ2IjoiMSJ9.L3l44h4Z7BC0-CiSRb0r0ldwvgBK0q7P8zlv1wJFxlMWPzpsD0gMEbDHmUkLrrHWGrM25Ado9QLgTkPLymwoj8W-a1h_PIEFsIH499e-rdyUX7qCSJV7Ud9ygFiXWDwhkYkKzgFiCTc6L5Jk7cmVBui9HTT-Ztoulnv7UfBUiOroKnpYWr5WBkOKDAGnEZpvKH9kehWR_zRjorUOA22XzZjaPcEgD44BSP_gAX18QZrUjK7_4p8K-EzN4kh5GEftvW5VrlgthvIlT8E3vUnejn3hzDZ3eq6LeH3fkkCsy5M.uBUZ2IUEgPplFDzzDtXQzM__W4XDE2k1Zi7FoSSmbog&dib_tag=se&keywords=serveur+nas&qid=1708504535&sr=8-16
